Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"BESI","BE SEMICONDUCTOR INDUSTRIES NV","IT","Aktien","9.477.457,50","0,09","9.477.457,50","74.333,00","127,50","Niederlande","Euronext Amsterdam","EUR"
"RTO","RENTOKIL INITIAL PLC","Industrie","Aktien","9.463.464,65","0,09","9.463.464,65","2.356.665,00","4,02","Vereinigtes Königreich","London Stock Exchange","GBP"
"SRG","SNAM","Versorger","Aktien","9.255.154,90","0,09","9.255.154,90","1.834.884,00","5,04","Italien","Borsa Italiana","EUR"
"COLO B","COLOPLAST B","Gesundheitsversorgung","Aktien","9.240.237,85","0,09","9.240.237,85","113.837,00","81,17","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"SGRO","SEGRO REIT PLC","Immobilien","Aktien","9.229.183,72","0,09","9.229.183,72","1.221.688,00","7,55","Vereinigtes Königreich","London Stock Exchange","GBP"
"FME","FRESENIUS MEDICAL CARE AG","Gesundheitsversorgung","Aktien","9.216.573,57","0,09","9.216.573,57","197.823,00","46,59","Deutschland","Xetra","EUR"
"URW","UNIBAIL RODAMCO WE STAPLED UNITS","Immobilien","Aktien","9.140.931,90","0,09","9.140.931,90","114.119,00","80,10","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"VACN","VAT GROUP AG","Industrie","Aktien","9.103.864,54","0,09","9.103.864,54","24.738,00","368,01","Schweiz","SIX Swiss Exchange","CHF"
"CNA","CENTRICA PLC","Versorger","Aktien","9.024.500,98","0,09","9.024.500,98","5.060.550,00","1,78","Vereinigtes Königreich","London Stock Exchange","GBP"
"RO","ROCHE HOLDING AG","Gesundheitsversorgung","Aktien","8.994.600,23","0,09","8.994.600,23","30.780,00","292,22","Schweiz","SIX Swiss Exchange","CHF"
"ADM","ADMIRAL GROUP PLC","Financials","Aktien","8.980.740,78","0,09","8.980.740,78","234.173,00","38,35","Vereinigtes Königreich","London Stock Exchange","GBP"
"MB","MEDIOBANCA BANCA DI CREDITO FINANZ","Financials","Aktien","8.838.132,45","0,09","8.838.132,45","485.345,00","18,21","Italien","Borsa Italiana","EUR"
"G1A","GEA GROUP AG","Industrie","Aktien","8.645.254,20","0,09","8.645.254,20","145.543,00","59,40","Deutschland","Xetra","EUR"
"AGS","AGEAS SA","Financials","Aktien","8.592.460,75","0,08","8.592.460,75","151.409,00","56,75","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"AC","ACCOR SA","Zyklische Konsumgüter ","Aktien","8.570.133,27","0,08","8.570.133,27","180.007,00","47,61","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"SMIN","SMITHS GROUP PLC","Industrie","Aktien","8.514.196,81","0,08","8.514.196,81","312.281,00","27,26","Vereinigtes Königreich","London Stock Exchange","GBP"
"BALN","BALOISE HOLDING AG","Financials","Aktien","8.396.993,98","0,08","8.396.993,98","40.170,00","209,04","Schweiz","SIX Swiss Exchange","CHF"
