Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"KR","KROGER","Nichtzyklische Konsumgüter","Aktien","11.880.307,92","0,06","11.880.307,92","168.324,00","70,58","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RKT","RECKITT BENCKISER GROUP PLC","Nichtzyklische Konsumgüter","Aktien","11.830.130,52","0,05","11.830.130,52","174.631,00","67,74","Vereinigtes Königreich","London Stock Exchange","GBP"
"WPM","WHEATON PRECIOUS METALS CORP","Materialien","Aktien","11.826.180,05","0,05","11.826.180,05","130.050,00","90,94","Kanada","Toronto Stock Exchange","CAD"
"MSCI","MSCI INC","Financials","Aktien","11.799.278,28","0,05","11.799.278,28","20.863,00","565,56","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FAST","FASTENAL","Industrie","Aktien","11.667.885,31","0,05","11.667.885,31","269.653,00","43,27","Vereinigte Staaten","NASDAQ","USD"
"ADYEN","ADYEN NV","Financials","Aktien","11.620.179,42","0,05","11.620.179,42","6.542,00","1.776,23","Niederlande","Euronext Amsterdam","EUR"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Aktien","11.620.267,52","0,05","11.620.267,52","1.726.000,00","6,73","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"9434","SOFTBANK CORP","Kommunikation","Aktien","11.615.089,61","0,05","11.615.089,61","7.895.100,00","1,47","Japan","Tokyo Stock Exchange","JPY"
"HES","HESS CORP","Energie","Aktien","11.612.543,80","0,05","11.612.543,80","75.790,00","153,22","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CBRE","CBRE GROUP INC CLASS A","Immobilien","Aktien","11.606.424,00","0,05","11.606.424,00","82.608,00","140,50","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CMI","CUMMINS INC","Industrie","Aktien","11.591.709,84","0,05","11.591.709,84","34.212,00","338,82","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"VOLV B","VOLVO CLASS B","Industrie","Aktien","11.522.016,14","0,05","11.522.016,14","402.743,00","28,61","Schweden","Nasdaq Omx Nordic","SEK"
"NA","NATIONAL BANK OF CANADA","Financials","Aktien","11.468.222,65","0,05","11.468.222,65","111.519,00","102,84","Kanada","Toronto Stock Exchange","CAD"
"MET","METLIFE INC","Financials","Aktien","11.408.535,60","0,05","11.408.535,60","146.828,00","77,70","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FERG","FERGUSON ENTERPRISES INC","Industrie","Aktien","11.325.090,60","0,05","11.325.090,60","51.340,00","220,59","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GLEN","GLENCORE PLC","Materialien","Aktien","11.295.409,33","0,05","11.295.409,33","2.676.340,00","4,22","Vereinigtes Königreich","London Stock Exchange","GBP"
"ARES","ARES MANAGEMENT CORP CLASS A","Financials","Aktien","11.173.955,26","0,05","11.173.955,26","62.998,00","177,37","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"IDXX","IDEXX LABORATORIES INC","Gesundheitsversorgung","Aktien","11.160.767,25","0,05","11.160.767,25","20.925,00","533,37","Vereinigte Staaten","NASDAQ","USD"
"D","DOMINION ENERGY INC","Versorger","Aktien","11.161.838,49","0,05","11.161.838,49","194.491,00","57,39","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ROST","ROSS STORES INC","Zyklische Konsumgüter ","Aktien","11.153.778,61","0,05","11.153.778,61","85.033,00","131,17","Vereinigte Staaten","NASDAQ","USD"
"GLW","CORNING INC","IT","Aktien","11.154.217,20","0,05","11.154.217,20","216.167,00","51,60","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GLE","SOCIETE GENERALE SA","Financials","Aktien","11.037.978,43","0,05","11.037.978,43","188.562,00","58,54","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"KMB","KIMBERLY CLARK CORP","Nichtzyklische Konsumgüter","Aktien","11.012.049,32","0,05","11.012.049,32","85.114,00","129,38","Vereinigte Staaten","NASDAQ","USD"
"F","FORD MOTOR CO","Zyklische Konsumgüter ","Aktien","10.968.440,46","0,05","10.968.440,46","931.107,00","11,78","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DHI","D R HORTON INC","Zyklische Konsumgüter ","Aktien","10.960.513,38","0,05","10.960.513,38","80.109,00","136,82","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EXC","EXELON CORP","Versorger","Aktien","10.932.583,66","0,05","10.932.583,66","251.266,00","43,51","Vereinigte Staaten","NASDAQ","USD"
"NWG","NATWEST GROUP PLC","Financials","Aktien","10.912.416,78","0,05","10.912.416,78","1.643.943,00","6,64","Vereinigtes Königreich","London Stock Exchange","GBP"
"WAB","WESTINGHOUSE AIR BRAKE TECHNOLOGIE","Industrie","Aktien","10.845.595,26","0,05","10.845.595,26","50.761,00","213,66","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MNST","MONSTER BEVERAGE CORP","Nichtzyklische Konsumgüter","Aktien","10.827.367,35","0,05","10.827.367,35","184.045,00","58,83","Vereinigte Staaten","NASDAQ","USD"
"NDA FI","NORDEA BANK","Financials","Aktien","10.797.720,37","0,05","10.797.720,37","729.380,00","14,80","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"TRGP","TARGA RESOURCES CORP","Energie","Aktien","10.725.872,40","0,05","10.725.872,40","62.396,00","171,90","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CAH","CARDINAL HEALTH INC","Gesundheitsversorgung","Aktien","10.712.553,50","0,05","10.712.553,50","66.550,00","160,97","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CCI","CROWN CASTLE INC","Immobilien","Aktien","10.677.175,04","0,05","10.677.175,04","103.904,00","102,76","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"HLN","HALEON PLC","Gesundheitsversorgung","Aktien","10.672.376,91","0,05","10.672.376,91","2.150.856,00","4,96","Vereinigtes Königreich","London Stock Exchange","GBP"
"FIS","FIDELITY NATIONAL INFORMATION SERV","Financials","Aktien","10.646.614,55","0,05","10.646.614,55","135.367,00","78,65","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"VRT","VERTIV HOLDINGS CLASS A","Industrie","Aktien","10.632.159,00","0,05","10.632.159,00","86.230,00","123,30","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SRE","SEMPRA","Versorger","Aktien","10.620.177,28","0,05","10.620.177,28","142.438,00","74,56","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CPRT","COPART INC","Industrie","Aktien","10.598.672,28","0,05","10.598.672,28","223.318,00","47,46","Vereinigte Staaten","NASDAQ","USD"
"ROK","ROCKWELL AUTOMATION INC","Industrie","Aktien","10.594.687,74","0,05","10.594.687,74","30.882,00","343,07","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PSA","PUBLIC STORAGE REIT","Immobilien","Aktien","10.509.297,24","0,05","10.509.297,24","36.348,00","289,13","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"4502","TAKEDA PHARMACEUTICAL LTD","Gesundheitsversorgung","Aktien","10.471.401,20","0,05","10.471.401,20","352.471,00","29,71","Japan","Tokyo Stock Exchange","JPY"
"EBAY","EBAY INC","Zyklische Konsumgüter ","Aktien","10.452.183,39","0,05","10.452.183,39","135.549,00","77,11","Vereinigte Staaten","NASDAQ","USD"
"MBG","MERCEDES-BENZ GROUP N AG","Zyklische Konsumgüter ","Aktien","10.438.346,11","0,05","10.438.346,11","168.078,00","62,10","Deutschland","Xetra","EUR"
"OTIS","OTIS WORLDWIDE CORP","Industrie","Aktien","10.428.342,82","0,05","10.428.342,82","104.818,00","99,49","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"YUM","YUM BRANDS INC","Zyklische Konsumgüter ","Aktien","10.423.286,94","0,05","10.423.286,94","69.586,00","149,79","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"HOLN","HOLCIM LTD AG","Materialien","Aktien","10.375.736,20","0,05","10.375.736,20","130.822,00","79,31","Schweiz","SIX Swiss Exchange","CHF"
"ALC","ALCON AG","Gesundheitsversorgung","Aktien","10.331.025,50","0,05","10.331.025,50","117.732,00","87,75","Schweiz","SIX Swiss Exchange","CHF"
"ALNY","ALNYLAM PHARMACEUTICALS INC","Gesundheitsversorgung","Aktien","10.316.489,58","0,05","10.316.489,58","32.757,00","314,94","Vereinigte Staaten","NASDAQ","USD"
"GMG","GOODMAN GROUP UNITS","Immobilien","Aktien","10.278.320,16","0,05","10.278.320,16","463.426,00","22,18","Australien","Asx - All Markets","AUD"
"7741","HOYA CORP","Gesundheitsversorgung","Aktien","10.193.248,06","0,05","10.193.248,06","84.200,00","121,06","Japan","Tokyo Stock Exchange","JPY"
"6503","MITSUBISHI ELECTRIC CORP","Industrie","Aktien","10.161.780,61","0,05","10.161.780,61","488.100,00","20,82","Japan","Tokyo Stock Exchange","JPY"
"O39","OVERSEA-CHINESE BANKING LTD","Financials","Aktien","10.099.964,07","0,05","10.099.964,07","765.600,00","13,19","Singapur","Singapore Exchange","SGD"
"VRSK","VERISK ANALYTICS INC","Industrie","Aktien","10.098.037,53","0,05","10.098.037,53","33.603,00","300,51","Vereinigte Staaten","NASDAQ","USD"
"DOL","DOLLARAMA INC","Zyklische Konsumgüter ","Aktien","10.081.973,91","0,05","10.081.973,91","72.651,00","138,77","Kanada","Toronto Stock Exchange","CAD"
"PRU","PRUDENTIAL FINANCIAL INC","Financials","Aktien","10.079.131,60","0,05","10.079.131,60","95.140,00","105,94","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"9961","TRIP.COM GROUP LTD","Zyklische Konsumgüter ","Aktien","10.080.117,27","0,05","10.080.117,27","162.083,00","62,19","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"DELL","DELL TECHNOLOGIES INC CLASS C","IT","Aktien","10.038.340,84","0,05","10.038.340,84","79.148,00","126,83","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"VEEV","VEEVA SYSTEMS INC CLASS A","Gesundheitsversorgung","Aktien","9.980.320,75","0,05","9.980.320,75","36.175,00","275,89","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"XEL","XCEL ENERGY INC","Versorger","Aktien","9.949.419,66","0,05","9.949.419,66","144.993,00","68,62","Vereinigte Staaten","NASDAQ","USD"
"EOAN","E.ON N","Versorger","Aktien","9.922.565,97","0,05","9.922.565,97","531.010,00","18,69","Deutschland","Xetra","EUR"
"TTWO","TAKE TWO INTERACTIVE SOFTWARE INC","Kommunikation","Aktien","9.910.488,64","0,05","9.910.488,64","42.367,00","233,92","Vereinigte Staaten","NASDAQ","USD"
"RMD","RESMED INC","Gesundheitsversorgung","Aktien","9.902.774,40","0,05","9.902.774,40","38.926,00","254,40","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GIVN","GIVAUDAN SA","Materialien","Aktien","9.899.164,94","0,05","9.899.164,94","2.080,00","4.759,21","Schweiz","SIX Swiss Exchange","CHF"
"ADS","ADIDAS N AG","Zyklische Konsumgüter ","Aktien","9.895.864,56","0,05","9.895.864,56","40.647,00","243,46","Deutschland","Xetra","EUR"
"IFC","INTACT FINANCIAL CORP","Financials","Aktien","9.891.527,79","0,05","9.891.527,79","43.792,00","225,88","Kanada","Toronto Stock Exchange","CAD"
"FFH","FAIRFAX FINANCIAL HOLDINGS SUB VOT","Financials","Aktien","9.887.972,40","0,05","9.887.972,40","5.490,00","1.801,09","Kanada","Toronto Stock Exchange","CAD"
"BBCA","BANK CENTRAL ASIA","Financials","Aktien","9.888.953,58","0,05","9.888.953,58","18.585.500,00","0,53","Indonesien","Indonesia Stock Exchange","IDR"
"ATD","ALIMENTATION COUCHE TARD INC","Nichtzyklische Konsumgüter","Aktien","9.882.289,07","0,05","9.882.289,07","197.221,00","50,11","Kanada","Toronto Stock Exchange","CAD"
"CVNA","CARVANA CLASS A","Zyklische Konsumgüter ","Aktien","9.874.326,44","0,05","9.874.326,44","28.732,00","343,67","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BKR","BAKER HUGHES CLASS A","Energie","Aktien","9.845.085,80","0,05","9.845.085,80","241.894,00","40,70","Vereinigte Staaten","NASDAQ","USD"
"SYY","SYSCO CORP","Nichtzyklische Konsumgüter","Aktien","9.826.837,08","0,05","9.826.837,08","127.887,00","76,84","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ENI","ENI","Energie","Aktien","9.783.779,28","0,05","9.783.779,28","585.586,00","16,71","Italien","Borsa Italiana","EUR"
"LR","LEGRAND SA","Industrie","Aktien","9.766.971,84","0,05","9.766.971,84","73.493,00","132,90","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"NDAQ","NASDAQ INC","Financials","Aktien","9.764.734,33","0,05","9.764.734,33","109.213,00","89,41","Vereinigte Staaten","NASDAQ","USD"
"STAN","STANDARD CHARTERED PLC","Financials","Aktien","9.765.349,85","0,05","9.765.349,85","564.013,00","17,31","Vereinigtes Königreich","London Stock Exchange","GBP"
"KDP","KEURIG DR PEPPER INC","Nichtzyklische Konsumgüter","Aktien","9.704.095,89","0,05","9.704.095,89","289.761,00","33,49","Vereinigte Staaten","NASDAQ","USD"
"TSCO","TESCO PLC","Nichtzyklische Konsumgüter","Aktien","9.695.154,40","0,05","9.695.154,40","1.789.746,00","5,42","Vereinigtes Königreich","London Stock Exchange","GBP"
"ENGI","ENGIE SA","Versorger","Aktien","9.688.920,47","0,04","9.688.920,47","421.237,00","23,00","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"WKL","WOLTERS KLUWER NV","Industrie","Aktien","9.656.938,35","0,04","9.656.938,35","59.477,00","162,36","Niederlande","Euronext Amsterdam","EUR"
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Versorger","Aktien","9.626.072,95","0,04","9.626.072,95","116.609,00","82,55","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EA","ELECTRONIC ARTS INC","Kommunikation","Aktien","9.532.515,90","0,04","9.532.515,90","64.110,00","148,69","Vereinigte Staaten","NASDAQ","USD"
"CABK","CAIXABANK SA","Financials","Aktien","9.525.125,75","0,04","9.525.125,75","1.089.866,00","8,74","Spanien","Bolsa De Madrid","EUR"
"MCHP","MICROCHIP TECHNOLOGY INC","IT","Aktien","9.519.746,24","0,04","9.519.746,24","127.679,00","74,56","Vereinigte Staaten","NASDAQ","USD"
"6701","NEC CORP","IT","Aktien","9.515.296,03","0,04","9.515.296,03","369.200,00","25,77","Japan","Tokyo Stock Exchange","JPY"
"AD","KONINKLIJKE AHOLD DELHAIZE NV","Nichtzyklische Konsumgüter","Aktien","9.509.936,42","0,04","9.509.936,42","231.766,00","41,03","Niederlande","Euronext Amsterdam","EUR"
"DDOG","DATADOG INC CLASS A","IT","Aktien","9.505.866,63","0,04","9.505.866,63","69.199,00","137,37","Vereinigte Staaten","NASDAQ","USD"
"6702","FUJITSU LTD","IT","Aktien","9.483.252,47","0,04","9.483.252,47","438.500,00","21,63","Japan","Tokyo Stock Exchange","JPY"
"SIKA","SIKA AG","Materialien","Aktien","9.480.630,38","0,04","9.480.630,38","36.650,00","258,68","Schweiz","SIX Swiss Exchange","CHF"
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","IT","Aktien","9.453.685,92","0,04","9.453.685,92","125.447,00","75,36","Vereinigte Staaten","NASDAQ","USD"
"3382","SEVEN & I HOLDINGS LTD","Nichtzyklische Konsumgüter","Aktien","9.447.761,68","0,04","9.447.761,68","622.800,00","15,17","Japan","Tokyo Stock Exchange","JPY"
"005935","SAMSUNG ELECTRONICS NON VOTING PRE","IT","Aktien","9.431.284,37","0,04","9.431.284,37","248.583,00","37,94","Korea","Korea Exchange (Stock Market)","KRW"
"FICO","FAIR ISAAC CORP","IT","Aktien","9.367.299,18","0,04","9.367.299,18","6.066,00","1.544,23","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"9432","NTT INC","Kommunikation","Aktien","9.359.511,96","0,04","9.359.511,96","9.026.600,00","1,04","Japan","Tokyo Stock Exchange","JPY"
"ARGX","ARGENX","Gesundheitsversorgung","Aktien","9.343.942,59","0,04","9.343.942,59","16.630,00","561,87","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"MPWR","MONOLITHIC POWER SYSTEMS INC","IT","Aktien","9.328.088,38","0,04","9.328.088,38","12.673,00","736,06","Vereinigte Staaten","NASDAQ","USD"
"U11","UNITED OVERSEAS BANK LTD","Financials","Aktien","9.295.900,26","0,04","9.295.900,26","322.885,00","28,79","Singapur","Singapore Exchange","SGD"
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Kommunikation","Aktien","9.290.041,40","0,04","9.290.041,40","23.687,00","392,20","Vereinigte Staaten","NASDAQ","USD"
"2914","JAPAN TOBACCO INC","Nichtzyklische Konsumgüter","Aktien","9.290.708,78","0,04","9.290.708,78","323.900,00","28,68","Japan","Tokyo Stock Exchange","JPY"
"KVUE","KENVUE INC","Nichtzyklische Konsumgüter","Aktien","9.287.701,50","0,04","9.287.701,50","435.225,00","21,34","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"UMG","UNIVERSAL MUSIC GROUP NV","Kommunikation","Aktien","9.231.689,34","0,04","9.231.689,34","295.904,00","31,20","Niederlande","Euronext Amsterdam","EUR"
"VMC","VULCAN MATERIALS","Materialien","Aktien","9.183.929,00","0,04","9.183.929,00","34.141,00","269,00","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"HIG","HARTFORD INSURANCE GROUP INC","Financials","Aktien","9.173.540,88","0,04","9.173.540,88","75.852,00","120,94","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"4568","DAIICHI SANKYO LTD","Gesundheitsversorgung","Aktien","9.168.341,19","0,04","9.168.341,19","414.700,00","22,11","Japan","Tokyo Stock Exchange","JPY"
"G","ASSICURAZIONI GENERALI","Financials","Aktien","9.107.286,00","0,04","9.107.286,00","250.107,00","36,41","Italien","Borsa Italiana","EUR"
"AME","AMETEK INC","Industrie","Aktien","9.016.106,37","0,04","9.016.106,37","49.821,00","180,97","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CSGP","COSTAR GROUP INC","Immobilien","Aktien","8.968.612,26","0,04","8.968.612,26","104.982,00","85,43","Vereinigte Staaten","NASDAQ","USD"
"9618","JD.COM CLASS A INC","Zyklische Konsumgüter ","Aktien","8.946.569,46","0,04","8.946.569,46","569.591,00","15,71","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"MLM","MARTIN MARIETTA MATERIALS INC","Materialien","Aktien","8.912.758,00","0,04","8.912.758,00","15.859,00","562,00","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AMS","AMADEUS IT GROUP SA","Zyklische Konsumgüter ","Aktien","8.850.307,33","0,04","8.850.307,33","105.500,00","83,89","Spanien","Bolsa De Madrid","EUR"
"2885","YUANTA FINANCIAL HOLDING LTD","Financials","Aktien","8.851.176,01","0,04","8.851.176,01","7.980.264,00","1,11","Taiwan","Taiwan Stock Exchange","TWD"
"A","AGILENT TECHNOLOGIES INC","Gesundheitsversorgung","Aktien","8.793.315,84","0,04","8.793.315,84","71.328,00","123,28","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GRMN","GARMIN LTD","Zyklische Konsumgüter ","Aktien","8.752.533,12","0,04","8.752.533,12","40.536,00","215,92","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ED","CONSOLIDATED EDISON INC","Versorger","Aktien","8.686.952,40","0,04","8.686.952,40","86.360,00","100,59","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"105560","KB FINANCIAL GROUP INC","Financials","Aktien","8.677.139,30","0,04","8.677.139,30","101.777,00","85,26","Korea","Korea Exchange (Stock Market)","KRW"
"RJF","RAYMOND JAMES INC","Financials","Aktien","8.637.076,80","0,04","8.637.076,80","54.527,00","158,40","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"XYZ","BLOCK INC CLASS A","Financials","Aktien","8.540.570,54","0,04","8.540.570,54","131.111,00","65,14","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"IT","GARTNER INC","IT","Aktien","8.538.566,40","0,04","8.538.566,40","22.806,00","374,40","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SLF","SUN LIFE FINANCIAL INC","Financials","Aktien","8.529.043,92","0,04","8.529.043,92","137.433,00","62,06","Kanada","Toronto Stock Exchange","CAD"
"ODFL","OLD DOMINION FREIGHT LINE INC","Industrie","Aktien","8.503.407,81","0,04","8.503.407,81","50.697,00","167,73","Vereinigte Staaten","NASDAQ","USD"
"FITB","FIFTH THIRD BANCORP","Financials","Aktien","8.496.572,88","0,04","8.496.572,88","194.163,00","43,76","Vereinigte Staaten","NASDAQ","USD"
"ANSS","ANSYS INC","IT","Aktien","8.474.264,04","0,04","8.474.264,04","22.627,00","374,52","Vereinigte Staaten","NASDAQ","USD"
"TRI","THOMSON REUTERS CORP","Industrie","Aktien","8.425.431,46","0,04","8.425.431,46","42.356,00","198,92","Kanada","Toronto Stock Exchange","CAD"
"HO","THALES SA","Industrie","Aktien","8.409.264,76","0,04","8.409.264,76","28.651,00","293,51","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"PRU","PRUDENTIAL PLC","Financials","Aktien","8.356.511,25","0,04","8.356.511,25","673.578,00","12,41","Vereinigtes Königreich","London Stock Exchange","GBP"
"2891","CTBC FINANCIAL HOLDING LTD","Financials","Aktien","8.358.291,55","0,04","8.358.291,55","5.568.128,00","1,50","Taiwan","Taiwan Stock Exchange","TWD"
"OXY","OCCIDENTAL PETROLEUM CORP","Energie","Aktien","8.332.836,16","0,04","8.332.836,16","179.936,00","46,31","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AAL","ANGLO AMERICAN PLC","Materialien","Aktien","8.300.304,13","0,04","8.300.304,13","272.182,00","30,50","Vereinigtes Königreich","London Stock Exchange","GBP"
"IRM","IRON MOUNTAIN INC","Immobilien","Aktien","8.282.212,79","0,04","8.282.212,79","84.521,00","97,99","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EFX","EQUIFAX INC","Industrie","Aktien","8.279.189,28","0,04","8.279.189,28","32.008,00","258,66","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DXCM","DEXCOM INC","Gesundheitsversorgung","Aktien","8.259.215,79","0,04","8.259.215,79","99.067,00","83,37","Vereinigte Staaten","NASDAQ","USD"
"IMB","IMPERIAL BRANDS PLC","Nichtzyklische Konsumgüter","Aktien","8.237.550,48","0,04","8.237.550,48","209.242,00","39,37","Vereinigtes Königreich","London Stock Exchange","GBP"
"BAYN","BAYER AG","Gesundheitsversorgung","Aktien","8.218.599,30","0,04","8.218.599,30","257.072,00","31,97","Deutschland","Xetra","EUR"
"ABX","BARRICK MINING CORP","Materialien","Aktien","8.147.271,49","0,04","8.147.271,49","384.260,00","21,20","Kanada","Toronto Stock Exchange","CAD"
"HEI","HEIDELBERG MATERIALS AG","Materialien","Aktien","8.141.133,97","0,04","8.141.133,97","34.195,00","238,08","Deutschland","Xetra","EUR"
"4519","CHUGAI PHARMACEUTICAL LTD","Gesundheitsversorgung","Aktien","8.054.172,97","0,04","8.054.172,97","173.600,00","46,40","Japan","Tokyo Stock Exchange","JPY"
"IR","INGERSOLL RAND INC","Industrie","Aktien","8.020.791,02","0,04","8.020.791,02","90.101,00","89,02","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SSE","SSE PLC","Versorger","Aktien","8.019.239,61","0,04","8.019.239,61","323.760,00","24,77","Vereinigtes Königreich","London Stock Exchange","GBP"
"DANSKE","DANSKE BANK","Financials","Aktien","8.005.102,67","0,04","8.005.102,67","195.996,00","40,84","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"GIS","GENERAL MILLS INC","Nichtzyklische Konsumgüter","Aktien","7.965.860,46","0,04","7.965.860,46","154.437,00","51,58","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"WDS","WOODSIDE ENERGY GROUP LTD","Energie","Aktien","7.925.798,87","0,04","7.925.798,87","503.012,00","15,76","Australien","Asx - All Markets","AUD"
"TTD","TRADE DESK INC CLASS A","Kommunikation","Aktien","7.919.648,94","0,04","7.919.648,94","105.063,00","75,38","Vereinigte Staaten","NASDAQ","USD"
"EQT","EQT CORP","Energie","Aktien","7.916.229,09","0,04","7.916.229,09","143.073,00","55,33","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"WSP","WSP GLOBAL INC","Industrie","Aktien","7.908.272,50","0,04","7.908.272,50","38.463,00","205,61","Kanada","Toronto Stock Exchange","CAD"
"PKO","POWSZECHNA KASA OSZCZEDNOSCI BANK","Financials","Aktien","7.902.447,43","0,04","7.902.447,43","369.963,00","21,36","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"NRG","NRG ENERGY INC","Versorger","Aktien","7.876.344,96","0,04","7.876.344,96","52.272,00","150,68","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CCO","CAMECO CORP","Energie","Aktien","7.874.147,23","0,04","7.874.147,23","108.412,00","72,63","Kanada","Toronto Stock Exchange","CAD"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","IT","Aktien","7.872.069,48","0,04","7.872.069,48","53.486,00","147,18","Vereinigte Staaten","NASDAQ","USD"
"ETR","ENTERGY CORP","Versorger","Aktien","7.867.538,25","0,04","7.867.538,25","96.239,00","81,75","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NBK","NATIONAL BANK OF KUWAIT","Financials","Aktien","7.843.812,84","0,04","7.843.812,84","2.308.225,00","3,40","Kuwait","Kuwait Stock Exchange","KWD"
"NUE","NUCOR CORP","Materialien","Aktien","7.833.566,40","0,04","7.833.566,40","55.011,00","142,40","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"K","KINROSS GOLD CORP","Materialien","Aktien","7.802.169,49","0,04","7.802.169,49","502.173,00","15,54","Kanada","Toronto Stock Exchange","CAD"
"EXR","EXTRA SPACE STORAGE REIT INC","Immobilien","Aktien","7.798.207,20","0,04","7.798.207,20","51.905,00","150,24","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ANG","ANGLOGOLD ASHANTI PLC","Materialien","Aktien","7.794.536,43","0,04","7.794.536,43","166.566,00","46,80","Südafrika","Johannesburg Stock Exchange","ZAR"
"2882","CATHAY FINANCIAL HOLDING LTD","Financials","Aktien","7.745.778,70","0,04","7.745.778,70","3.620.315,00","2,14","Taiwan","Taiwan Stock Exchange","TWD"
"DD","DUPONT DE NEMOURS INC","Materialien","Aktien","7.684.957,49","0,04","7.684.957,49","101.801,00","75,49","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LEN","LENNAR A CORP CLASS A","Zyklische Konsumgüter ","Aktien","7.676.003,72","0,04","7.676.003,72","67.357,00","113,96","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GEHC","GE HEALTHCARE TECHNOLOGIES INC","Gesundheitsversorgung","Aktien","7.667.542,41","0,04","7.667.542,41","102.057,00","75,13","Vereinigte Staaten","NASDAQ","USD"
"ML","MICHELIN","Zyklische Konsumgüter ","Aktien","7.662.918,50","0,04","7.662.918,50","203.577,00","37,64","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"CBK","COMMERZBANK AG","Financials","Aktien","7.639.990,44","0,04","7.639.990,44","230.867,00","33,09","Deutschland","Xetra","EUR"
"TSCO","TRACTOR SUPPLY","Zyklische Konsumgüter ","Aktien","7.626.045,15","0,04","7.626.045,15","134.285,00","56,79","Vereinigte Staaten","NASDAQ","USD"
"VICI","VICI PPTYS INC","Immobilien","Aktien","7.619.058,18","0,04","7.619.058,18","227.979,00","33,42","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
