Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"APA","APA GROUP UNITS","Versorger","Aktien","1.898.162,33","0,01","1.898.162,33","348.323,00","5,45","Australien","Asx - All Markets","AUD"
"NED","NEDBANK GROUP LTD","Financials","Aktien","1.886.971,24","0,01","1.886.971,24","144.041,00","13,10","Südafrika","Johannesburg Stock Exchange","ZAR"
"ELISA","ELISA","Kommunikation","Aktien","1.887.019,67","0,01","1.887.019,67","34.884,00","54,09","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"EDEN","EDENRED","Financials","Aktien","1.882.580,53","0,01","1.882.580,53","61.448,00","30,64","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"INDT","INDUTRADE","Industrie","Aktien","1.882.803,67","0,01","1.882.803,67","66.890,00","28,15","Schweden","Nasdaq Omx Nordic","SEK"
"SAP","SAPUTO INC","Nichtzyklische Konsumgüter","Aktien","1.879.264,92","0,01","1.879.264,92","93.360,00","20,13","Kanada","Toronto Stock Exchange","CAD"
"3008","LARGAN PRECISION LTD","IT","Aktien","1.877.310,69","0,01","1.877.310,69","24.000,00","78,22","Taiwan","Taiwan Stock Exchange","TWD"
"27","GALAXY ENTERTAINMENT GROUP LTD","Zyklische Konsumgüter ","Aktien","1.878.369,43","0,01","1.878.369,43","382.000,00","4,92","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"BTRW","BARRATT REDROW PLC","Zyklische Konsumgüter ","Aktien","1.870.279,81","0,01","1.870.279,81","333.292,00","5,61","Vereinigtes Königreich","London Stock Exchange","GBP"
"SECU B","SECURITAS B","Industrie","Aktien","1.868.431,78","0,01","1.868.431,78","123.047,00","15,18","Schweden","Nasdaq Omx Nordic","SEK"
"SYENS","SYENSQO NV","Materialien","Aktien","1.863.662,91","0,01","1.863.662,91","22.945,00","81,22","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"BVT","BIDVEST GROUP LTD","Industrie","Aktien","1.859.683,62","0,01","1.859.683,62","143.906,00","12,92","Südafrika","Johannesburg Stock Exchange","ZAR"
"7752","RICOH LTD","IT","Aktien","1.860.181,18","0,01","1.860.181,18","205.800,00","9,04","Japan","Tokyo Stock Exchange","JPY"
"ZAL","ZALANDO","Zyklische Konsumgüter ","Aktien","1.857.326,98","0,01","1.857.326,98","55.517,00","33,45","Deutschland","Xetra","EUR"
"TIT","TELECOM ITALIA","Kommunikation","Aktien","1.852.246,54","0,01","1.852.246,54","3.908.208,00","0,47","Italien","Borsa Italiana","EUR"
"NIBE B","NIBE INDUSTRIER CLASS B","Industrie","Aktien","1.850.111,70","0,01","1.850.111,70","406.322,00","4,55","Schweden","Nasdaq Omx Nordic","SEK"
"AUD","AUD CASH","Cash und/oder Derivate","Geldmarkt","1.848.455,57","0,01","1.848.455,57","2.811.981,00","65,73","Australien","-","AUD"
"015760","KOREA ELECTRIC POWER CORP","Versorger","Aktien","1.846.705,67","0,01","1.846.705,67","68.670,00","26,89","Korea","Korea Exchange (Stock Market)","KRW"
"S68","SINGAPORE EXCHANGE LTD","Financials","Aktien","1.840.371,54","0,01","1.840.371,54","152.408,00","12,08","Singapur","Singapore Exchange","SGD"
"4188","MITSUBISHI CHEMICAL GROUP CORP","Materialien","Aktien","1.842.079,87","0,01","1.842.079,87","347.000,00","5,31","Japan","Tokyo Stock Exchange","JPY"
